"21","-50","21","30","0.0546","0.0055","0.00414","0.652","1.21","0.0079029428","0.0087830881","0.0088342696","1.0085","2605.5","0","0.8"
"21","-50","21","30","0.0426","0.00659","0.0076","0.733","1.116","0.0078543942","0.0088246839","0.0088839017","461.98","4555.2","1.1609","0.8"
"21","-50","21","30","0.0458","0.01314","0.00727","0.7","1.16","0.0081409568","0.0090466516","0.0091649722","0.00092","14.21","0.2","0.8"
"21","-50","21","30","0.0458","0.01314","0.00727","0.7","1.16","0.0081409568","0.0090466516","0.0091649722","0.0884","1627.8","0","0.8"
"21","-50","21","30","0.054","0.0144","0.001677","0.617","1.5","0.0081500115","0.0089002376","0.0090298425","0.065","1598.4","0.3991","0.8"
"21","-50","21","30","0.06411","0.01","0.0015","0.595","1.468","0.0079312879","0.008740726","0.0088310924","0.0026","721.4","0.03","0.8"
"21","-50","21","30","0.0631","0.0072","0.0026","0.636","1.298","0.0079800097","0.0089298113","0.0089959747","23.25","3322.6","0.498","0.8"
"21","-50","21","30","0.0465","0.0138","0.00057","0.647","1.64","0.0082312461","0.0089655237","0.0090897783","1.6462","2770","0.0286","0.8"
"21","-50","21","30","0.0434","0.0077","0.0021","0.7615","1.379","0.0079002087","0.0090154049","0.0090851133","0.0008","11.23","0.2","0.8"
"21","-50","21","30","0.0462","0.0073","0.00247","0.6816","1.34","0.0078190884","0.008663191","0.0087292348","6.7791","3288","0.1684","0.8"


"i","at1","at2","at3","ak1","ak2","ak3","aalpha","abeta","apt1","apt2","apt3","sA","sB","sC","act_leak_alpha"













